Fechas,Llamadas
2021-04-03,14136.224763120099
2021-04-04,9858.053564281849
2021-04-05,17911.518578837153
2021-04-06,18566.309199728315
2021-04-07,17818.148422061247
2021-04-08,16985.645402604736
2021-04-09,16754.848004946256
2021-04-10,13615.40652487002
2021-04-11,9069.13881647828
2021-04-12,16983.959413653236
2021-04-13,17762.954686047815
2021-04-14,17428.48560379276
2021-04-15,17159.401836690853
2021-04-16,17414.068297346683
2021-04-17,14525.306768025686
2021-04-18,10011.706634684411
2021-04-19,17888.757659756207
2021-04-20,18690.771680122914
2021-04-21,18437.67481545486
2021-04-22,18187.77704247946
2021-04-23,18287.381787552426
2021-04-24,15080.918839652086
2021-04-25,10220.271767366168
2021-04-26,17865.2752644826
2021-04-27,18595.650266578923
2021-04-28,18370.03992712209
2021-04-29,18170.223504336114
2021-04-30,18341.343105954613
2021-05-01,15296.83925876156
2021-05-02,10731.699348119357
2021-05-03,18735.511938633084
2021-05-04,19720.262127373797
2021-05-05,19493.289528438007
2021-05-06,19011.504550547194
2021-05-07,18727.541010298726
2021-05-08,15195.49127885233
2021-05-09,10178.214937639812
2021-05-10,17748.28355957274
2021-05-11,18300.89168244333
2021-05-12,17712.186472768608
2021-05-13,17079.07436033091
2021-05-14,16950.877340219915
2021-05-15,13826.042172166228
2021-05-16,9267.757266775892
2021-05-17,17138.169084808862
2021-05-18,17759.212770478858
2021-05-19,17104.599143478525
2021-05-20,16431.30365245164
2021-05-21,16360.969372785052
2021-05-22,13319.654591754886
2021-05-23,8735.620089838623
2021-05-24,16411.85003492642
2021-05-25,16750.792280702215
2021-05-26,15880.87299303526
2021-05-27,15161.486789964032
2021-05-28,15198.089916567338
2021-05-29,12331.89316200584
2021-05-30,7943.810768548159
2021-05-31,15876.669979689445
2021-06-01,16601.26396150362
2021-06-02,16236.12512573625
2021-06-03,16009.80985974975
2021-06-04,16349.12162726365
2021-06-05,13496.328505593905
2021-06-06,8878.879190149808
2021-06-07,16477.49250342786
2021-06-08,16874.326942423773
2021-06-09,16205.735100777489
2021-06-10,15668.30565259862
2021-06-11,15707.6197346608
